Id	Pathway	Gene
hsa00010	Glycolysis / Gluconeogenesis	10327
hsa00010	Glycolysis / Gluconeogenesis	124
hsa00010	Glycolysis / Gluconeogenesis	125
hsa00010	Glycolysis / Gluconeogenesis	126
hsa00010	Glycolysis / Gluconeogenesis	127
hsa00010	Glycolysis / Gluconeogenesis	128
hsa00010	Glycolysis / Gluconeogenesis	130
hsa00010	Glycolysis / Gluconeogenesis	130589
hsa00010	Glycolysis / Gluconeogenesis	131
hsa00010	Glycolysis / Gluconeogenesis	160287
hsa00010	Glycolysis / Gluconeogenesis	1737
hsa00010	Glycolysis / Gluconeogenesis	1738
hsa00010	Glycolysis / Gluconeogenesis	2023
hsa00010	Glycolysis / Gluconeogenesis	2026
hsa00010	Glycolysis / Gluconeogenesis	2027
hsa00010	Glycolysis / Gluconeogenesis	217
hsa00010	Glycolysis / Gluconeogenesis	218
hsa00010	Glycolysis / Gluconeogenesis	219
hsa00010	Glycolysis / Gluconeogenesis	2203
hsa00010	Glycolysis / Gluconeogenesis	221
hsa00010	Glycolysis / Gluconeogenesis	222
hsa00010	Glycolysis / Gluconeogenesis	223
hsa00010	Glycolysis / Gluconeogenesis	224
hsa00010	Glycolysis / Gluconeogenesis	226
hsa00010	Glycolysis / Gluconeogenesis	229
hsa00010	Glycolysis / Gluconeogenesis	230
hsa00010	Glycolysis / Gluconeogenesis	2538
hsa00010	Glycolysis / Gluconeogenesis	2597
hsa00010	Glycolysis / Gluconeogenesis	26330
hsa00010	Glycolysis / Gluconeogenesis	2645
hsa00010	Glycolysis / Gluconeogenesis	2821
hsa00010	Glycolysis / Gluconeogenesis	3098
hsa00010	Glycolysis / Gluconeogenesis	3099
hsa00010	Glycolysis / Gluconeogenesis	3101
hsa00010	Glycolysis / Gluconeogenesis	387712
hsa00010	Glycolysis / Gluconeogenesis	3939
hsa00010	Glycolysis / Gluconeogenesis	3945
hsa00010	Glycolysis / Gluconeogenesis	3948
hsa00010	Glycolysis / Gluconeogenesis	441531
hsa00010	Glycolysis / Gluconeogenesis	501
hsa00010	Glycolysis / Gluconeogenesis	5105
hsa00010	Glycolysis / Gluconeogenesis	5106
hsa00010	Glycolysis / Gluconeogenesis	5160
hsa00010	Glycolysis / Gluconeogenesis	5161
hsa00010	Glycolysis / Gluconeogenesis	5162
hsa00010	Glycolysis / Gluconeogenesis	5211
hsa00010	Glycolysis / Gluconeogenesis	5213
hsa00010	Glycolysis / Gluconeogenesis	5214
hsa00010	Glycolysis / Gluconeogenesis	5223
hsa00010	Glycolysis / Gluconeogenesis	5224
hsa00010	Glycolysis / Gluconeogenesis	5230
hsa00010	Glycolysis / Gluconeogenesis	5232
hsa00010	Glycolysis / Gluconeogenesis	5236
hsa00010	Glycolysis / Gluconeogenesis	5313
hsa00010	Glycolysis / Gluconeogenesis	5315
hsa00010	Glycolysis / Gluconeogenesis	55276
hsa00010	Glycolysis / Gluconeogenesis	55902
hsa00010	Glycolysis / Gluconeogenesis	57818
