Celltype	GeneID	Gene	Peak	Entrezgene	Zscore	Specificity	Rank
Basophils	p1@IL4	IL4	p1	3565	15.85918314	3	1
Basophils	p2@THAP9	THAP9	p2	79725	5.444295912	4	3
Basophils	p3@WRAP53	WRAP53	p3	55135	5.881739484	5	3
Basophils	p2@LOC401588	LOC401588	p2	401588	5.200328278	5	3
Basophils	p1@DDIT3	DDIT3	p1	1649	6.701429541	6	3
Basophils	p1@HRH4	HRH4	p1	59340	6.247614478	6	2
Basophils	p1@IFNG	IFNG	p1	3458	5.247382429	6	2
Basophils	p2@TRDMT1	TRDMT1	p2	1787	12.56710739	8	1
Basophils	p1@EAF1	EAF1	p1	85403	8.221404836	8	2
Basophils	p1@HSPC081	HSPC081	p1	100286989	6.376372715	8	2
Basophils	p1@KLF6	KLF6	p1	1316	6.133909575	8	3
Basophils	p2@LOC644727	LOC644727	p2	644727	5.909505126	8	2
Basophils	p1@AKIRIN2	AKIRIN2	p1	55122	6.137645742	9	2
Basophils	p1@DUSP10	DUSP10	p1	11221	6.093182014	9	3
Basophils	p1@RNU6ATAC	RNU6ATAC	p1	100151684	5.45332025	9	3
Basophils	p2@RASGEF1B	RASGEF1B	p2	153020	5.26632898	9	3
Basophils	p2@MANBAL	MANBAL	p2	63905	5.189967319	9	2
Basophils	p1@HSPA5	HSPA5	p1	3309	5.698656017	10	3
Basophils	p1@XCL1	XCL1	p1	6375	5.074870442	10	3
CD14-CD16+ Monocytes	p1@LOC200772	LOC200772	p1	200772	17.21539	2	1
CD14-CD16+ Monocytes	p1@PTX4	PTX4	p1	390667	17.05662	2	1
CD14-CD16+ Monocytes	p1@CLEC4F	CLEC4F	p1	165530	14.15006	3	1
CD14-CD16+ Monocytes	p1@SLC2A6	SLC2A6	p1	11182	9.861608	4	2
CD14-CD16+ Monocytes	p2@WDR11	WDR11	p2	55717	14.13955	4	1
CD14-CD16+ Monocytes	p1@LILRB1	LILRB1	p1	10859	9.571298	4	2
CD14-CD16+ Monocytes	p2@SH2D3C	SH2D3C	p2	10044	7.713134	5	3
CD14-CD16+ Monocytes	p1@GPBAR1	GPBAR1	p1	151306	10.23971	5	2
CD14-CD16+ Monocytes	p1@SH2D1B	SH2D1B	p1	117157	5.504827	5	2
CD14-CD16+ Monocytes	p1@FCGR3A	FCGR3A	p1	2214	15.43156	5	1
CD14-CD16+ Monocytes	p5@TNFRSF8	TNFRSF8	p5	943	15.21304	5	1
CD14-CD16+ Monocytes	p2@BATF3	BATF3	p2	55509	14.50976	5	1
CD14-CD16+ Monocytes	p1@NAAA	NAAA	p1	27163	10.02391	6	2
CD14-CD16+ Monocytes	p1@AIF1	AIF1	p1	199	12.27237	6	1
CD14-CD16+ Monocytes	p1@OAS1	OAS1	p1	4938	11.05969	6	1
CD14-CD16+ Monocytes	p3@MS4A7	MS4A7	p3	58475	14.32812	6	1
CD14-CD16+ Monocytes	p1@CX3CR1	CX3CR1	p1	1524	8.995934	7	2
CD14-CD16+ Monocytes	p1@C1orf162	C1orf162	p1	128346	7.731621	7	2
CD14-CD16+ Monocytes	p1@ABI3	ABI3	p1	51225	10.84462	7	1
CD14-CD16+ Monocytes	p1@LOC284837	LOC284837	p1	284837	10.77252	7	1
CD14-CD16+ Monocytes	p1@LYPD2	LYPD2	p1	137797	7.549778	7	2
CD14-CD16+ Monocytes	p1@TREX1	TREX1	p1	11277	7.221016	7	1
